problem_id,level,accuracy,solved_count,error_count,rating,tag1,tag2,tag3,tag4,tag5
926159,,0.93,229,31,3.1,,,,,
917968,,0.9,109,13,2.0,,,,,
905681,E,0.33,113,261,3.5,Basic Programming,Implementation,,,
911826,M,0.56,11,46,0.0,,,,,
903637,E,0.81,312,410,4.1,Ad-Hoc,,,,
903638,M-H,0.06,30,648,4.0,String Algorithms,Dynamic Programming,,,
909783,E,0.19,181,1025,5.0,Math,,,,
903640,E-M,0.18,656,4151,5.0,Dynamic Programming,,,,
909786,M,0.3,28,428,0.0,Algorithms,,,,
903904,E,0.44,37,1269,5.0,Sorting,Math,,,
911825,E,0.89,63,19,0.0,,,,,
915939,E,0.75,336,183,0.0,Implementation,Basic Programming,Ad-Hoc,Algorithms,
915940,E,0.82,512,400,4.0,Implementation,Basic Programming,Ad-Hoc,Math,
915941,E,0.86,297,100,4.0,Ad-Hoc,Sieve,Math,,
915942,M,0.84,188,190,4.8,Data Structures,BIT,Dynamic Programming,,
928864,E,0.72,137,155,1.5,Basic Programming,,,,
903656,E,0.32,465,1207,4.0,Ad-Hoc,,,,
903657,E,0.63,793,539,2.3,Ad-Hoc,,,,
903658,,0.09,18,251,0.0,,,,,
936428,,0.94,96,18,3.6,,,,,
936430,,0.93,104,28,3.4,,,,,
936432,E-M,0.91,74,109,3.9,Math,,,,
936433,E,0.33,223,507,3.8,Ad-Hoc,,,,
903666,M,0.28,279,924,5.0,Math,Number Theory,,,
936435,E,0.61,215,261,3.8,Implementation,,,,
909781,E,0.43,27,342,0.0,Algorithms,Math,,,
911861,M-H,0.15,14,1519,0.0,Extended Euclid,Math,,,
936442,M-H,0.94,9,19,4.4,Dynamic Programming,,,,
903676,E,0.54,3506,3406,3.4,Basic Programming,Ad-Hoc,,,
903639,E,0.36,1020,13346,0.0,,,,,
905733,E,0.67,335,228,3.0,Ad-Hoc,Data Structures,Implementation,,
909784,M,0.93,75,67,0.0,Algorithms,DFS,,,
905736,E,0.73,27,144,4.0,Implementation,Data Structures,Brute Force,Algorithms,
905737,M,0.9,229,72,0.0,Algorithms,,,,
903698,,0.94,260,20,1.0,,,,,
912517,,0.92,12,34,0.0,,,,,
907809,E,0.84,4333,1924,3.4,Ad-Hoc,Basic Programming,Implementation,,
907810,E,0.43,451,702,0.0,Implementation,Data Structures,Ad-Hoc,,
907811,E,0.85,351,203,3.8,Implementation,Data Structures,Dynamic Programming,Algorithms,Hashing
907812,E,0.77,51,155,5.0,Implementation,Combinatorics,Math,,
907813,M,0.54,156,327,0.0,Bit manipulation,Algorithms,,,
907814,E,0.48,252,671,4.5,Data Structures,,,,
907815,E,0.55,134,406,1.5,Geometry,Math,,,
926249,,0.88,111,60,3.1,,,,,
926250,,0.93,37,13,3.2,,,,,
926251,,0.93,54,4,3.2,,,,,
926252,,0.9,75,33,3.5,,,,,
907821,H,0.46,3,265,0.0,Algorithms,,,,
907822,E,0.34,200,1581,3.0,Math,,,,
907823,M,0.37,18,105,0.0,Binary Search,Algorithms,,,
907824,M,0.43,13,238,1.0,Algorithms,,,,
916618,H,0.57,21,307,0.0,Algorithms,,,,
920115,,0.91,405,59,3.2,,,,,
928907,,0.9,21,8,4.2,,,,,
903739,,1.0,166,0,0.0,,,,,
920126,E,0.84,1375,1003,3.5,Ad-Hoc,Math,,,
920127,E,0.91,1012,725,3.7,Math,Number Theory,,,
920130,E,0.89,967,390,3.8,Modular exponentiation,Math,Number Theory,,
920131,,0.95,326,38,3.4,,,,,
920132,,0.87,194,53,3.6,,,,,
920133,,0.9,332,71,3.2,,,,,
905803,E,0.4,500,1672,4.3,Data Structures,,,,
928332,E,0.59,16,80,3.5,,,,,
928333,E,0.76,84,40,3.4,,,,,
908136,H,0.47,9,103,0.0,Bitmask,Dynamic Programming,Algorithms,,
928336,E,0.63,163,297,3.9,,,,,
928337,M,0.11,94,1432,3.7,,,,,
928338,E,0.57,180,159,3.6,,,,,
928339,E,0.65,152,269,3.8,,,,,
925536,E,0.84,195,122,3.4,,,,,
913251,M,0.71,60,109,0.0,Combinatorics,Dynamic Programming,Math,,
905821,H,0.1,10,470,0.0,Algorithms,,,,
918110,E,0.26,334,2567,4.2,Ad-Hoc,Basic Programming,Modular exponentiation,Number Theory,
918111,E,0.92,446,236,3.6,Ad-Hoc,Basic Programming,,,
905824,M,0.28,9,1138,0.0,Algorithms,Math,Number Theory,,
918113,M,0.63,100,119,5.0,Graph Theory,Set,Algorithms,Greedy,
918114,M,0.42,142,449,4.5,Recursion,Dynamic Programming,Memoization,,
905827,M,0.77,138,261,4.0,Math,,,,
928356,M,0.37,21,1167,3.9,Combinatorics,Dynamic Programming,Math,,
905829,E,0.93,609,138,4.8,Algorithms,,,,
905830,M,0.86,140,126,0.0,Data Structures,Sorting,Algorithms,,
903786,,0.2,116,621,0.0,,,,,
909931,E,0.92,1193,395,4.0,Basic Programming,,,,
903788,M,0.34,309,766,5.0,,,,,
909933,M,0.09,98,1245,0.0,Algorithms,Math,,,
909934,M,0.33,139,1386,0.0,Dynamic Programming,Algorithms,,,
916080,E,0.75,273,2860,4.3,Binary Search,Algorithms,Math,Number Theory,
928372,E,0.63,909,791,3.3,Basic Programming,Greedy,,,
928373,E-M,0.48,287,558,3.7,Greedy,,,,
928374,E-M,0.53,265,1370,3.6,Ad-Hoc,Greedy,,,
928375,E,0.84,262,55,3.6,Sorting,Greedy,,,
928377,,0.89,100,17,3.4,,,,,
928378,,0.9,50,20,3.7,,,,,
909948,,0.93,78,9,0.0,,,,,
928869,E,0.93,64,14,3.5,Basic Programming,HashMap,,,
914050,M,0.42,134,1622,5.0,Game Theory,Math,,,
909979,H,0.06,6,136,0.0,Algorithms,,,,
928388,,0.86,149,31,3.4,,,,,
914053,H,0.92,15,4,0.0,Algorithms,Matching,,,
907913,E,0.39,26,309,5.0,Combinatorics,Dynamic Programming,Math,Probability,
907915,M,0.65,81,935,0.0,Math,,,,
907916,M,0.07,44,813,0.0,Ad-Hoc,Algorithms,Matrix Exponentiation,Math,
907917,M,0.48,231,589,4.0,Combinatorics,Ad-Hoc,Dynamic Programming,Algorithms,
905605,M,0.95,19,4,0.0,Algorithms,,,,
926355,,0.89,159,44,3.0,,,,,
931653,E,0.62,130,315,3.6,,,,,
932757,E-M,0.55,66,272,3.8,,,,,
909976,E-M,0.32,183,1214,5.0,Data Structures,,,,
909977,M,0.2,156,1304,0.0,Data Structures,Priority Queue,Greedy,,
909978,M,0.09,9,240,0.0,Algorithms,,,,
936603,,0.88,142,28,2.5,,,,,
907593,M,0.39,217,1333,0.0,Combinatorics,Math,,,
936607,,0.89,28,19,3.1,,,,,
936434,E-M,0.49,37,103,4.3,Math,,,,
917959,,0.96,139,9,0.0,,,,,
907080,E,0.85,102,70,0.0,Ad-Hoc,,,,
903667,M,0.14,36,428,0.0,BFS,Dynamic Programming,,,
936617,,0.92,163,19,3.0,,,,,
911518,M,0.29,27,180,0.0,Dynamic Programming,Algorithms,,,
933705,,0.95,128,28,3.3,,,,,
928429,,1.0,65,0,3.9,,,,,
903668,E,0.3,102,314,0.0,Math,,,,
930479,E,0.73,681,406,3.6,,,,,
930480,E-M,0.32,21,1210,3.7,,,,,
916149,E,0.83,419,152,2.3,Basic Programming,HashMap,,,
916150,E,0.7,75,215,0.0,Implementation,,,,
916152,E,0.73,54,64,4.3,Implementation,Math,,,
916153,E-M,0.72,35,76,0.0,BFS,Algorithms,,,
916154,M,0.17,36,297,0.0,Algorithms,Math,,,
912716,M,0.66,3,32,0.0,Recursion,Dynamic Programming,Algorithms,Trees,
925175,,0.89,25,7,2.7,,,,,
910018,H,0.89,396,311,2.8,Algorithms,Math,Number Theory,,
910019,H,0.31,29,647,0.0,Sorting,Algorithms,Greedy,Dynamic Programming,
931661,E,0.47,110,1338,3.6,,,,,
910021,H,0.5,49,248,0.0,Algorithms,,,,
907974,E,0.26,232,1254,3.0,Math,,,,
907975,M,0.72,42,144,0.0,Ad-Hoc,Data Structures,Binary Search,,
907976,M,0.66,55,209,0.0,Dynamic Programming,Algorithms,,,
907977,M,0.16,7,37,0.0,Algorithms,,,,
931662,M,0.78,47,510,3.8,,,,,
905380,E,0.57,92,181,0.0,Math,,,,
936655,M,0.89,4,6,4.1,Graph Theory,,,,
903888,E,0.48,5,267,0.0,Math,,,,
903892,,0.0,0,670,0.0,,,,,
903893,,0.23,113,854,0.0,,,,,
917328,E,0.93,280,27,2.0,,,,,
936664,E,0.38,960,1631,3.1,Basic Programming,Sorting,Greedy,,
912089,,0.9,135,36,0.0,Ad-Hoc,Priority Queue,Greedy,,
936666,M,0.38,268,471,3.9,Dynamic Programming,Algorithms,,,
936667,M,0.21,123,520,3.9,Dynamic Programming,Algorithms,,,
922449,E,0.84,646,652,3.6,Ad-Hoc,Math,,,
936669,H,0.07,5,71,3.9,Data Structures,,,,
936670,M,0.33,149,311,3.9,Algorithms,,,,
903903,E,0.7,841,1726,2.9,Ad-Hoc,Basic Programming,,,
936672,M,0.22,521,2001,3.5,Algorithms,,,,
903905,,0.81,2973,1040,2.6,Basic Programming,Ad-Hoc,,,
936674,H,0.19,24,120,3.9,Graph Theory,Algorithms,,,
925181,,0.95,45,21,3.0,,,,,
908456,M,0.13,33,341,0.0,Algorithms,Matrix Exponentiation,,,
905959,,0.87,178,34,0.0,Sailesh Arya,,,,
906067,E,0.47,40,642,0.0,Math,,,,
910059,,0.94,213,82,0.0,,,,,
928492,,0.95,141,20,3.5,,,,,
905965,,0.91,98,12,0.0,,,,,
926548,E-M,0.6,357,766,3.2,Algorithms,,,,
930986,E,0.18,6,133,3.5,,,,,
925525,E,0.19,469,5169,3.8,Ad-Hoc,Math,Simulation,,
918261,M,0.25,16,166,3.0,Recursion,String Algorithms,Dynamic Programming,,
905974,,0.93,110,13,0.0,,,,,
918265,M,0.71,28,1336,5.0,Binary Search,Sorting,Greedy,,
925526,E,0.81,2154,789,3.3,Ad-Hoc,,,,
930988,M,0.36,36,349,3.5,,,,,
928906,,0.89,18,4,3.9,,,,,
908042,E,0.63,388,438,3.5,Algorithms,,,,
908043,E,0.66,51,840,0.0,Algorithms,,,,
908045,E,0.67,139,216,0.0,Algorithms,,,,
912142,M,0.89,67,115,5.0,Bitmask,Dynamic Programming,Algorithms,,
912143,M-H,0.38,54,609,0.0,Algorithms,,,,
912145,M-H,0.47,16,135,0.0,Binary Tree,Math,,,
936453,,0.87,38,16,3.4,,,,,
903957,E,0.25,74,295,1.0,Ad-Hoc,Math,,,
903958,,0.54,0,69,5.0,Dynamic Programming,Math,,,
917339,,0.94,51,25,5.0,,,,,
908058,M,0.11,63,872,0.0,Data Structures,Algorithms,Simulation,,
903642,,0.06,39,1077,5.0,,,,,
904938,E,0.87,1216,350,4.0,Basic Programming,Simple-math,,,
927579,,0.86,5,6,4.5,,,,,
935776,E-M,0.19,64,1307,3.8,Dynamic Programming,,,,
912187,,0.9,7,40,0.0,,,,,
914236,E-M,0.65,137,250,5.0,Algorithms,,,,
914237,E,0.59,14,88,0.0,Dynamic Programming,Algorithms,,,
935436,H,0.18,1,50,3.5,Binary Search,Segment Trees,Number Theory,,
904035,,0.64,3,9,0.0,,,,,
906058,M,0.03,20,981,0.0,Algorithms,Number Theory,,,
906059,M,0.84,54,105,0.0,Math,,,,
906060,E,0.57,215,226,1.0,Algorithms,Game Theory,,,
916301,,0.87,202,46,3.0,,,,,
906062,E,0.25,98,943,4.0,Ad-Hoc,Math,,,
906064,M,0.16,31,201,0.0,Combinatorics,Algorithms,Math,,
932689,,0.92,0,23,3.7,,,,,
922450,E,0.81,234,1021,3.7,Implementation,Data Structures,Hashing,,
926547,E-M,0.5,431,548,3.3,Algorithms,,,,
934757,M,0.87,81,79,3.8,Graph Theory,Bellman Ford,,,
926549,E-M,0.68,288,153,3.6,Algorithms,,,,
926550,M,0.93,167,49,4.3,Algorithms,,,,
926551,,0.86,96,27,3.3,,,,,
935782,M,0.67,78,306,3.9,Math,Probability,,,
926557,,0.91,15,27,3.8,,,,,
906081,M,0.83,79,33,0.0,Trie,Data Structures,Sorting,Algorithms,
906082,H,0.48,14,57,0.0,Math,Number Theory,,,
934755,E-M,0.65,93,144,3.7,Graph Theory,Shortest-path,,,
916324,E,0.85,221,380,1.0,Basic Programming,,,,
908133,E,0.58,542,658,3.8,Basic Programming,Greedy,,,
908134,M,0.2,79,1679,5.0,Math,,,,
904039,H,0.1,61,649,5.0,Number Theory,,,,
934760,E-M,0.85,126,81,3.8,Dijkstra,Graph Theory,Shortest-path,,
904041,H,0.52,3,48,0.0,Dijkstra,Graph Theory,Algorithms,DFS,
927593,M,0.69,73,546,3.7,Implementation,Graph Theory,Algorithms,,
916333,E,0.8,146,970,4.0,,,,,
916334,M,0.5,103,577,5.0,Graph Theory,Algorithms,DFS,,
908143,,0.93,25,12,0.0,,,,,
908145,E,0.72,43,18,0.0,String Algorithms,Brute Force,,,
908146,E,0.91,86,11,0.0,Ad-Hoc,,,,
904052,E-M,0.56,280,251,4.0,Math,,,,
917450,E,0.54,26,135,3.5,Math,,,,
914298,E,0.74,128,855,4.5,Algorithms,Hashing,,,
914299,E,0.46,304,1166,4.6,Segment Trees,BIT,Data Structures,,
936828,M,0.93,239,53,4.1,Data Structures,String Algorithms,BIT,,
936829,M-H,0.92,76,19,4.5,Data Structures,BIT,Dynamic Programming,,
912254,M,0.79,308,696,2.7,Algorithms,,,,
912255,E-M,0.04,111,2843,3.0,Ad-hoc,Ad-Hoc,GCD,Math,Easy-medium
908160,E,0.83,1184,925,3.8,Basic Programming,Math,,,
908161,M,0.08,36,700,0.0,Algorithms,,,,
908162,M,0.44,57,599,0.0,Implementation,Dynamic Programming,Algorithms,Probability,
914310,E,0.09,44,504,0.0,Prime Factorization,Sieve,,,
930695,E,0.74,1417,863,3.3,Bit manipulation,Sorting,,,
930696,E,0.91,1336,271,3.3,Bit manipulation,Ad-Hoc,,,
930697,M,0.72,156,456,4.0,Bit manipulation,Bitmask,,,
930698,M,0.92,70,49,4.0,Bit manipulation,Bitmask,Dynamic Programming,,
904075,M,0.63,287,489,4.5,DFS,,,,
928866,E,0.56,115,157,4.0,Basic Programming,Sorting,Math,,
935781,E-M,0.85,41,22,3.9,Combinatorics,Modular exponentiation,Math,,
918415,E,0.79,656,821,3.2,Ad-Hoc,Data Structures,Stack,,
918416,E,0.13,208,1729,3.7,Implementation,Greedy,,,
922513,E,0.91,2158,405,3.5,Ad-Hoc,Sorting,,,
918418,E,0.47,716,1217,3.7,Ad-Hoc,Sorting,,,
918419,E,0.31,330,900,4.2,Brute Force,Sorting,Greedy,,
932756,E,0.77,119,146,3.5,Ad-Hoc,Basic Programming,,,
918421,M,0.7,17,161,3.8,Algorithms,KMP,,,
922518,E,0.92,1332,180,3.7,Ad-Hoc,Math,,,
922528,M,0.88,90,34,4.0,Combinatorics,Greedy,,,
912291,M,0.34,46,124,0.0,Algorithms,Game Theory,,,
912292,E-M,0.96,44,27,5.0,Prime Factorization,Game Theory,,,
912293,,0.48,8,152,0.0,,,,,
912294,E-M,0.44,82,183,0.0,Segment Trees,BIT,Fenwick Tree,Sieve,
912295,M,0.38,20,48,0.0,Modular exponentiation,Matrix Exponentiation,Math,,
910248,,0.91,137,177,0.0,,,,,
918446,,0.91,1,44,2.8,,,,,
918447,,0.93,4,12,3.4,,,,,
918448,,0.93,127,27,3.4,,,,,
922545,M,0.3,159,491,4.1,Greedy,,,,
910264,E,0.48,114,1282,0.0,Basic Programming,Sieve,,,
910265,M,0.36,16,142,0.0,Trie,Data Structures,,,
910266,H,0.35,13,74,0.0,BIT,Algorithms,,,
906171,E,0.69,715,641,4.2,Ad-Hoc,Math,,,
906172,E,0.29,19,425,0.0,Data Structures,Greedy,,,
906173,E,0.67,128,144,0.0,Ad-Hoc,Data Structures,,,
906174,E,0.13,10,214,0.0,Probability,Math,,,
936436,M,0.85,12,15,4.3,Greedy,,,,
926242,,0.91,49,5,2.9,,,,,
905680,H,0.5,10,15,0.0,Algorithms,,,,
926243,E,0.93,63,35,2.7,Sorting,,,,
932815,E,0.88,525,524,3.7,Implementation,,,,
932816,E-M,0.88,42,103,3.8,String Algorithms,Hashing,KMP,,
932817,E,0.91,80,100,4.2,Graph Theory,Disjoint Set,DFS,,
911226,M,0.56,41,625,0.0,Data Structures,BIT,Algorithms,,
932819,M,0.93,39,36,4.3,Minimum Spanning Tree,Kruskal,Graph Theory,Greedy,
913957,,0.92,43,36,0.0,,,,,
911227,H,0.19,13,187,0.0,Dynamic Programming,Algorithms,Number Theory,,
906717,,0.9,1,1,0.0,,,,,
906206,E,0.49,133,631,0.0,Implementation,Math,,,
906207,E,0.9,289,92,2.3,Ad-Hoc,Math,,,
920424,,1.0,346,0,3.9,,,,,
911570,,0.91,122,13,0.0,,,,,
914409,,0.92,79,8,0.0,,,,,
936830,E-M,0.67,214,357,3.9,Data Structures,BIT,Math,,
918057,,0.9,11,19,0.0,,,,,
908159,E,0.8,562,730,3.3,Implementation,Basic Programming,,,
925608,,0.93,240,74,3.1,,,,,
920448,H,0.87,56,581,3.8,Combinatorics,Brute Force,Dynamic Programming,Number Theory,
920449,M-H,0.83,73,158,3.8,Combinatorics,Dynamic Programming,Math,Number Theory,
926720,,0.89,9,5,4.1,,,,,
920450,H,0.59,44,336,4.4,Segment Trees,Fenwick Tree,Data Structures,,
926728,,0.89,74,27,3.8,,,,,
912394,E,0.59,240,694,5.0,Data-Structures,Data Structures,Priority Queue,Priority-Queue,Maps
912395,M,0.91,24,79,5.0,Completed,Algorithms,,,
925572,M,0.77,133,104,3.5,Data Structures,Disjoint Set,Greedy,,
925573,H,0.93,51,48,4.0,Data Structures,Segment Trees,,,
918748,M,0.49,43,101,3.8,Dynamic Programming,Expectation,Probability,,
906271,M,0.29,41,198,0.0,Dynamic Programming,Algorithms,,,
914311,E,0.85,530,230,2.1,Sorting,Algorithms,,,
910369,E-M,0.57,23,866,0.0,Algorithms,,,,
910370,E,0.82,131,98,0.0,Implementation,Data Structures,Sorting,Heap,
910371,M,0.21,18,387,0.0,Math,,,,
912421,E,0.82,147,302,0.0,Math,,,,
912422,M,0.92,68,39,0.0,Algorithms,Simulation,,,
913130,E,0.86,1439,415,4.4,Algorithms,,,,
908331,,0.94,14,9,0.0,,,,,
914313,M,0.78,139,79,0.0,Probability,Math,,,
924717,,0.94,91,18,4.2,,,,,
916527,M,0.82,388,284,4.7,Ad-Hoc,Basic Programming,Implementation,String Algorithms,
916528,E,0.65,183,692,0.0,Ad-Hoc,Math,,,
904074,E,0.34,1482,3153,3.2,,,,,
909536,,0.89,64,32,0.0,,,,,
910391,,0.86,33,102,0.0,,,,,
908344,E,0.64,8922,7150,3.7,Basic Programming,Very Easy,,,
908347,H,0.42,14,1934,0.0,Trie,Implementation,Sqrt-Decomposition,Data Structures,
930700,,1.0,8,0,0.0,,,,,
906303,M,0.46,24,162,0.0,Combinatorics,Math,,,
906304,E,0.86,355,159,3.3,Basic Programming,,,,
906305,E,0.9,309,86,3.5,Basic Programming,,,,
912458,,0.9,41,15,0.0,,,,,
906315,E,0.8,148,162,0.0,Math,,,,
916558,,0.92,13,14,0.0,,,,,
904079,M,0.46,201,665,0.0,,,,,
918614,E-M,0.75,73,276,3.8,Bit manipulation,,,,
918615,E,0.88,56,28,4.1,Dynamic Programming,Algorithms,,,
908376,E,0.54,143,194,0.0,Combinatorics,Math,,,
908377,E,0.48,243,425,3.0,Basic Programming,,,,
